Reporting Month,County,State,Residential Closings,Source
2015-06,Maury,Tennessee,197,Redfin County Market Tracker
2015-06,Montgomery,Tennessee,360,Redfin County Market Tracker
2015-06,Robertson,Tennessee,96,Redfin County Market Tracker
2015-06,Rutherford,Tennessee,602,Redfin County Market Tracker
2015-06,Sumner,Tennessee,324,Redfin County Market Tracker
2015-06,Williamson,Tennessee,684,Redfin County Market Tracker
2015-06,Wilson,Tennessee,280,Redfin County Market Tracker
2015-07,Cheatham,Tennessee,49,Redfin County Market Tracker
2015-07,Davidson,Tennessee,1384,Redfin County Market Tracker
2015-07,Dickson,Tennessee,53,Redfin County Market Tracker
2015-07,Maury,Tennessee,203,Redfin County Market Tracker
2015-07,Montgomery,Tennessee,385,Redfin County Market Tracker
2015-07,Robertson,Tennessee,104,Redfin County Market Tracker
2015-07,Rutherford,Tennessee,700,Redfin County Market Tracker
2015-07,Sumner,Tennessee,389,Redfin County Market Tracker
2015-07,Williamson,Tennessee,621,Redfin County Market Tracker
2015-07,Wilson,Tennessee,284,Redfin County Market Tracker
2015-08,Cheatham,Tennessee,68,Redfin County Market Tracker
2015-08,Davidson,Tennessee,1320,Redfin County Market Tracker
2015-08,Dickson,Tennessee,64,Redfin County Market Tracker
2015-08,Maury,Tennessee,183,Redfin County Market Tracker
2015-08,Montgomery,Tennessee,357,Redfin County Market Tracker
2015-08,Robertson,Tennessee,111,Redfin County Market Tracker
2015-08,Rutherford,Tennessee,653,Redfin County Market Tracker
2015-08,Sumner,Tennessee,387,Redfin County Market Tracker
2015-08,Williamson,Tennessee,618,Redfin County Market Tracker
2015-08,Wilson,Tennessee,294,Redfin County Market Tracker
2015-09,Cheatham,Tennessee,66,Redfin County Market Tracker
2015-09,Davidson,Tennessee,1201,Redfin County Market Tracker
2015-09,Dickson,Tennessee,54,Redfin County Market Tracker
2015-09,Maury,Tennessee,183,Redfin County Market Tracker
2015-09,Montgomery,Tennessee,312,Redfin County Market Tracker
2015-09,Robertson,Tennessee,100,Redfin County Market Tracker
2015-09,Rutherford,Tennessee,577,Redfin County Market Tracker
2015-09,Sumner,Tennessee,323,Redfin County Market Tracker
2015-09,Williamson,Tennessee,528,Redfin County Market Tracker
2015-09,Wilson,Tennessee,290,Redfin County Market Tracker
2015-10,Cheatham,Tennessee,56,Redfin County Market Tracker
2015-10,Davidson,Tennessee,1110,Redfin County Market Tracker
2015-10,Dickson,Tennessee,64,Redfin County Market Tracker
2015-10,Maury,Tennessee,129,Redfin County Market Tracker
2015-10,Montgomery,Tennessee,284,Redfin County Market Tracker
2015-10,Robertson,Tennessee,99,Redfin County Market Tracker
2015-10,Rutherford,Tennessee,485,Redfin County Market Tracker
2015-10,Sumner,Tennessee,329,Redfin County Market Tracker
2015-10,Williamson,Tennessee,430,Redfin County Market Tracker
2015-10,Wilson,Tennessee,213,Redfin County Market Tracker
2015-11,Cheatham,Tennessee,35,Redfin County Market Tracker
2015-11,Davidson,Tennessee,840,Redfin County Market Tracker
2015-11,Dickson,Tennessee,39,Redfin County Market Tracker
2015-11,Maury,Tennessee,102,Redfin County Market Tracker
2015-11,Montgomery,Tennessee,238,Redfin County Market Tracker
2015-11,Robertson,Tennessee,76,Redfin County Market Tracker
2015-11,Rutherford,Tennessee,391,Redfin County Market Tracker
2015-11,Sumner,Tennessee,246,Redfin County Market Tracker
2015-11,Williamson,Tennessee,375,Redfin County Market Tracker
2015-11,Wilson,Tennessee,179,Redfin County Market Tracker
2015-12,Cheatham,Tennessee,59,Redfin County Market Tracker
2015-12,Davidson,Tennessee,1235,Redfin County Market Tracker
2015-12,Dickson,Tennessee,37,Redfin County Market Tracker
2015-12,Maury,Tennessee,129,Redfin County Market Tracker
2015-12,Montgomery,Tennessee,326,Redfin County Market Tracker
2015-12,Robertson,Tennessee,60,Redfin County Market Tracker
2015-12,Rutherford,Tennessee,508,Redfin County Market Tracker
2015-12,Sumner,Tennessee,287,Redfin County Market Tracker
2015-12,Williamson,Tennessee,511,Redfin County Market Tracker
2015-12,Wilson,Tennessee,208,Redfin County Market Tracker
2016-01,Cheatham,Tennessee,33,Redfin County Market Tracker
2016-01,Davidson,Tennessee,780,Redfin County Market Tracker
2016-01,Dickson,Tennessee,40,Redfin County Market Tracker
2016-01,Maury,Tennessee,128,Redfin County Market Tracker
2016-01,Montgomery,Tennessee,226,Redfin County Market Tracker
